MODEL,COMPANY,CC,TORQUE,MILEAGE,PRICE,TYPE
Himalayan 450,Royal Enfield,411.0,28.0,30.0,2.1,Adventure  
  390 Adventure,KTM,373.0,37.0,25.0,3.68,adventure
G 310 GS,BMW,313.0,28.0,30.0,3.3,Adventure
v-strom sx,Suzuki,399.0,37.0,29.0,2.31,Adventure
Adventure,Yezdi,334.0,27.0,35.0,2.3,Adventure 
XPulse 421,hero,411.0,37.5,35.0,2.5,adventure
Xpulse 200 4V,Hero,199.0,18.1,40.0,2.1,  Adventure
RC 390,KTM,373.0,28.0,28.0,3.22,Sports
  Apace RR 310,TVS,312.0,28.0,30.0,2.1,Sports
G 310 RR,BMW,313.0,28.0,32.0,2.81,Sports
Ninja 300,Kawasaki,334.0,28.0,28.0,2.1,Sports
R15 V4,Yamaha,155.0,14.2,45.0,2.1,  Sports
RC 200,KTM,199.0,19.5,35.0,2.15,Sports
Gixxer SF 250  @,Suzuki,249.0,22.2,35.0,1.86,Sports
RS 457  ,Aprilia,334.0,43.5,30.0,2.1,  Sports
390 Duke,KTM,334.0,37.0,26.0,3.14,Sports Naked
Apache RTR 310,T.V.S,312.0,28.0,35.0,2.21,sports
Zontes 350R  ,Zontes,348.0,30.0,35.0,2.57,Sports Naked
Duke 250,KTM,248.0,24.0,35.0,2.35,sports
Dominar 250  ,Bajaj,334.0,23.5,35.0,2.1,Sports 
  MT-15 V2#,Yamaha,334.0,28.0,45.0,2.1,Sports Naked  
Gixxer 250,Suzuki,249.0,28.0,40.0,2.1,Sports Naked
APACHE RTR 200 4V,TVS,197.0,18.1,40.0,1.42,Sports Naked
Pulsarr NS200,Bajaj,199.0,18.5,35.0,1.48,Sports Naked
Interceptor 650,Royal Enfield,334.0,52.0,35.0,2.1,Cruiser
Continental GT 650,Royal Enfield,334.0,52.0,35.0,2.1,Cafe Racer
Shotgun 650  ,Royal enfield,647.0,28.0,34.0,2.1,Cruizer
X440,Harley Davidson,438.0,38.5,35.0,2.1,Cruiser
Dominar 400,Bajaj,373.0,28.0,30.0,2.3,Power Cruiser
Jawa 42 Bobber,Jawa,293.0,28.0,30.0,1.95,Bobber
Classic 350,Royal enfield,346.0,28.0,35.0,2.1,Classic
  PERAK,Jawa,334.0,28.5,35.0,2.16,Bobber
Hunter 350,Royal Enfield,349.0,27.0,36.0,1.5,  Roadster
Meteor 350  ,RoyalEnfield,349.0,27.0,35.0,2.1,  Cruiser  
JAWA 42  ,Jawa,334.0,28.0,35.0,1.98,Cruiser
